x,y
0,0
0.574291523,0.109254533
1.090498071,0.470658612
1.469749977,0.548170508
1.872091386,0.213273369
2.416839258,-0.401079632
3.054298542,-1.110601264
3.883392907,-1.430374309
4.8139662,-1.453796234
5.34904898,-1.228585272
6.037620443,-1.193652552
6.52914151,-0.866112808
6.83939145,-0.361629159
6.630103396,-0.238216265
6.410849502,-0.080180498
6.283092771,0.359178479
6.316674524,0.887254439
6.283660957,1.453328162
5.893011409,1.914315476
5.357085597,1.839491818
4.850756312,1.621812459
4.292829248,1.531815691
3.693734626,1.372027271
3.348733431,0.97639857
3.098969169,0.450780237
2.973321603,-0.038683766
2.840787891,-0.610615359
2.554599107,-1.387424817
2.303015665,-2.022970066
1.657125252,-2.142343131
1.059068284,-2.519396588
0.53807234,-3.025376831
0.025762821,-3.141374189
-0.757754437,-3.432982225
-1.629530431,-3.860541344
-2.530256031,-4.090053838
-3.513207258,-4.058248582
-4.39212876,-4.44704517
-5.145245958,-4.94955825
-5.926397465,-5.173054008
-6.82405803,-5.366471286
-7.471137601,-4.695736034
-7.692834903,-3.773965828
-8.092333354,-2.896438314
-7.985876367,-1.978537491
-7.254232217,-1.605711113
-6.356162817,-1.799066872
-5.443130442,-1.997951058
-4.488179034,-1.934296487
-3.781758031,-1.299782902
-3.198942631,-0.589116394
-2.566405895,-0.054905117
-2.156390251,-0.06725469
-2.111945636,0.064620329
-1.748392216,-0.001998833
-0.969195173,0.13196318
-0.857695001,0.146278676
-0.857620129,0.145920656
-0.858272661,0.145840151
-0.858271728,0.146470314
-0.858226646,0.145528437
-0.860449729,0.14681054
